upvote_percent,age,tweet,AC,freq
0.96,3.0,"['everyone', 'dies', 'one', 'day', 'everyone', 'even', 'wolves', 'but', 'not', 'books', 'not', 'words', 'words', 'don’t', 'die”']","[0.174, 0.43570000000000003, 0.4476, 0.5673, 0.174, 0.0435, 0.718, 0.0396, 0.0521, 0.7471, 0.0521, 0.3792, 0.3792, -1, -1]","[0.0029500000000000004, 0.000257, 0.0295, 0.00891, 0.0029500000000000004, 0.009770000000000001, 0.00010200000000000001, 0.0427, 0.049, 0.0014100000000000002, 0.049, 0.00178, 0.00178, 0.0158, 0.00117]"
0.96,8.0,"['they', 'separate', 'everything', 'so', 'we', 'cant', 'understand', 'anything', 'who', 'says', 'music', 'isnt', 'really', 'math', 'or', 'math', 'isnt', 'science', 'really', 'someone', 'made', 'categories', 'but', 'the', 'world', 'is', 'mushier', 'than', 'that']","[0.0989, 0.269, 0.11839999999999999, 0.0381, 0.1045, 0.1113, 0.0698, 0.0861, 0.10029999999999999, 0.3235, 0.6851, -1, 0.0571, 0.5309999999999999, 0.05739999999999999, 0.5309999999999999, -1, 0.17450000000000002, 0.0571, 0.5603, 0.2105, 0.22349999999999998, 0.0396, 0.1768, 0.633, 0.10529999999999999, 0.3059, 0.12090000000000001, 0.0639]","[0.0316, 0.0006760000000000001, 0.00347, 0.0331, 0.0347, 0.000224, 0.00234, 0.00355, 0.021900000000000003, 0.00309, 0.0033100000000000004, 7.76e-05, 0.00933, 0.000282, 0.0347, 0.000282, 7.76e-05, 0.00132, 0.00933, 0.00427, 0.00832, 0.00020400000000000003, 0.0427, 0.5369999999999999, 0.0077599999999999995, 0.117, 1.3200000000000002e-07, 0.013500000000000002, 0.10200000000000001]"
0.96,5.0,"['i', 'know', 'you', 'are', 'a', 'boy', 'but', 'i', 'think', 'you', 'are', 'a', 'theythem', 'kind', 'of', 'boy']","[0.3598, 0.0664, 0.371, 0.1086, -1, 0.7217, 0.0396, 0.3598, 0.0436, 0.371, 0.1086, -1, -1, 0.1365, -1, 0.7217]","[0.123, 0.0126, 0.0955, 0.05499999999999999, 0.229, 0.00148, 0.0427, 0.123, 0.011999999999999999, 0.0955, 0.05499999999999999, 0.229, 0.0, 0.0028200000000000005, 0.251, 0.00148]"
0.96,5.0,"['i', 'believe', 'in', 'science', 'not', 'jesus']","[0.3598, 0.06860000000000001, 0.1389, 0.17450000000000002, 0.0521, 0.5603]","[0.123, 0.0032400000000000003, 0.186, 0.00132, 0.049, 0.000977]"
0.98,,"['i', 'am', 'vaccinated', 'so', 'i', 'dont', 'need', 'presents', 'i', 'wish', 'for', 'equality', 'and', 'for', 'elon', 'musk', 'to', 'stop', 'destroying', 'the', 'world']","[0.3598, 0.25539999999999996, 0.33199999999999996, 0.0381, 0.3598, 0.149, 0.059899999999999995, 0.2242, 0.3598, 0.0546, 0.09509999999999999, 0.057199999999999994, -1, 0.09509999999999999, -1, 0.5559999999999999, -1, 0.4327, 0.3297, 0.1768, 0.633]","[0.123, 0.006030000000000001, 2.09e-05, 0.0331, 0.123, 0.00055, 0.00933, 0.000257, 0.123, 0.00151, 0.10200000000000001, 0.00018199999999999998, 0.257, 0.10200000000000001, 2.1900000000000004e-05, 3.09e-05, 0.269, 0.0033100000000000004, 0.000123, 0.5369999999999999, 0.0077599999999999995]"
0.97,9.0,"['hakuna', 'matata', 'tells', 'us', 'to', 'push', 'down', 'bad', 'feelings', 'instead', 'of', 'sitting', 'in', 'them', 'and', 'feeling', 'your', 'feelings']","[0.3055, -1, 0.31520000000000004, 0.2246, -1, 0.5814, 0.2303, 0.0849, 0.046, 0.0638, -1, 0.5621, 0.1389, 0.1898, -1, 0.156, 0.3568, 0.046]","[1.91e-06, 1.82e-06, 0.000603, 0.011000000000000001, 0.269, 0.0006609999999999999, 0.00759, 0.00339, 0.000513, 0.00174, 0.251, 0.000724, 0.186, 0.0155, 0.257, 0.00135, 0.0339, 0.000513]"
0.97,8.0,"['what', 'difference', 'does', 'it', 'make', 'its', 'not', 'like', 'the', 'winner', 'is', 'going', 'to', 'solve', 'climate', 'change']","[0.045700000000000005, 0.1462, 0.0897, 0.1464, 0.2793, 0.2048, 0.0521, 0.055600000000000004, 0.1768, 0.4676, 0.10529999999999999, 0.0885, -1, 0.1502, 0.4136, 0.17099999999999999]","[0.023999999999999997, 0.00102, 0.0055000000000000005, 0.0891, 0.011999999999999999, 0.0138, 0.049, 0.025699999999999997, 0.5369999999999999, 0.000631, 0.117, 0.00871, 0.269, 0.000263, 0.000513, 0.00347]"
0.97,7.0,"['its', 'not', 'fair', 'that', 'you', 'and', 'daddy', 'got', 'to', 'have', 'a', 'coronavirus', 'free', 'childhood', 'most', 'of', 'my', 'life', 'that', 'i', 'can', 'remember', 'were', 'coronavirus', 'years', 'and', 'im', 'scared', 'that', 'the', 'rest', 'of', 'my', 'life', 'wil', 'be', 'a', 'coronavirus', 'life', 'too']","[0.2048, 0.0521, 0.10740000000000001, 0.0639, 0.371, -1, 0.6045, 0.20350000000000001, -1, 0.06810000000000001, -1, 0.5122, 0.15460000000000002, 0.4817, 0.0864, -1, 0.2578, 0.3547, 0.0639, 0.3598, 0.0693, 0.1096, 0.1387, 0.5122, 0.398, -1, 0.3922, 0.2153, 0.0639, 0.1768, 0.24380000000000002, -1, 0.2578, 0.3547, 0.09759999999999999, 0.0507, -1, 0.5122, 0.3547, 0.0443]","[0.0138, 0.049, 0.000977, 0.10200000000000001, 0.0955, 0.257, 0.000229, 0.00813, 0.269, 0.0513, 0.229, 1.66e-05, 0.00427, 0.000324, 0.01, 0.251, 0.037200000000000004, 0.0077599999999999995, 0.10200000000000001, 0.123, 0.028800000000000003, 0.0024000000000000002, 0.021900000000000003, 1.66e-05, 0.00912, 0.257, 0.00049, 0.00039799999999999997, 0.10200000000000001, 0.5369999999999999, 0.0017000000000000001, 0.251, 0.037200000000000004, 0.0077599999999999995, 1.91e-05, 0.061700000000000005, 0.229, 1.66e-05, 0.0077599999999999995, 0.00891]"
0.96,8.0,"['its', 'just', 'like', 'climate', 'change', 'they', 'wont', 'do', 'anything', 'because', 'they', 'say', 'its', 'too', 'expensive', 'but', 'it', 'will', 'end', 'up', 'costing', 'human', 'lives']","[0.2048, 0.1784, 0.055600000000000004, 0.4136, 0.17099999999999999, 0.0989, 0.0591, 0.0649, 0.0861, 0.048799999999999996, 0.0989, 0.18080000000000002, 0.2048, 0.0443, 0.0995, 0.0396, 0.1464, 0.1024, 0.2511, 0.4316, 0.1879, 0.34940000000000004, 0.2184]","[0.0138, 0.0269, 0.025699999999999997, 0.000513, 0.00347, 0.0316, 0.000123, 0.022399999999999996, 0.00355, 0.0107, 0.0316, 0.0077599999999999995, 0.0138, 0.00891, 0.00049, 0.0427, 0.0891, 0.0282, 0.00479, 0.0245, 4.9e-05, 0.00224, 0.00138]"
0.98,6.0,"['does', 'the', 'air', 'always', 'smell', 'like', 'white', 'privilege']","[0.0897, 0.1768, 0.631, 0.0324, 0.5208999999999999, 0.055600000000000004, 0.5931, 0.0645]","[0.0055000000000000005, 0.5369999999999999, 0.00234, 0.00575, 0.000309, 0.025699999999999997, 0.0032400000000000003, 0.00015800000000000002]"
0.96,5.0,"['we', 'always', 'say', 'amen', 'at', 'the', 'end', 'of', 'everything', 'i', 'dont', 'know', 'why', 'we', 'never', 'say', 'agirl']","[0.1045, 0.0324, 0.18080000000000002, 0.161, 0.0984, 0.1768, 0.2511, -1, 0.11839999999999999, 0.3598, 0.149, 0.0664, 0.040600000000000004, 0.1045, 0.028599999999999997, 0.18080000000000002, -1]","[0.0347, 0.00575, 0.0077599999999999995, 8.51e-05, 0.0501, 0.5369999999999999, 0.00479, 0.251, 0.00347, 0.123, 0.00055, 0.0126, 0.00851, 0.0347, 0.00813, 0.0077599999999999995, 0.0]"
0.95,6.0,"['i', 'dont', 'wanna', 'grow', 'up', 'because', 'i', 'cant', 'bake', 'i', 'can', 'only', 'make', 'cereal', 'and', 'furniture', 'is', 'expensive']","[0.3598, 0.149, 0.22810000000000002, 0.41369999999999996, 0.4316, 0.048799999999999996, 0.3598, 0.1113, 0.7182999999999999, 0.3598, 0.0693, 0.0497, 0.2793, 0.9118, -1, 0.8028000000000001, 0.10529999999999999, 0.0995]","[0.123, 0.00055, 0.0011, 0.000794, 0.0245, 0.0107, 0.123, 0.000224, 8.13e-05, 0.123, 0.028800000000000003, 0.0132, 0.011999999999999999, 5.4999999999999995e-05, 0.257, 0.000195, 0.117, 0.00049]"
